@relation 'winequality-white-norm-weka.filters.unsupervised.attribute.Remove-R7,9-10-weka.filters.unsupervised.attribute.NumericToNominal-R12'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide norm' numeric
@attribute 'total sulfur dioxide norm' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
7,0.27,0.36,20.7,0.045,45000,170000,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.049,14000,132000,0.994,3.3,0.49,9.5,6
8.1,0.28,0.4,6.9,0.05,30000,97000,0.9951,3.26,0.44,10.1,6
7.2,0.23,0.32,8.5,0.058,47000,186000,0.9956,3.19,0.4,9.9,6
7.2,0.23,0.32,8.5,0.058,47000,186000,0.9956,3.19,0.4,9.9,6
8.1,0.28,0.4,6.9,0.05,30000,97000,0.9951,3.26,0.44,10.1,6
6.2,0.32,0.16,7,0.045,30000,136000,0.9949,3.18,0.47,9.6,6
7,0.27,0.36,20.7,0.045,45000,170000,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.049,14000,132000,0.994,3.3,0.49,9.5,6
8.1,0.22,0.43,1.5,0.044,28000,129000,0.9938,3.22,0.45,11,6
8.1,0.27,0.41,1.45,0.033,11000,63000,0.9908,2.99,0.56,12,5
8.6,0.23,0.4,4.2,0.035,17000,109000,0.9947,3.14,0.53,9.7,5
7.9,0.18,0.37,1.2,0.04,16000,75000,0.992,3.18,0.63,10.8,5
6.6,0.16,0.4,1.5,0.044,48000,143000,0.9912,3.54,0.52,12.4,7
8.3,0.42,0.62,19.25,0.04,41000,172000,1.0002,2.98,0.67,9.7,5
6.6,0.17,0.38,1.5,0.032,28000,112000,0.9914,3.25,0.55,11.4,7
6.3,0.48,0.04,1.1,0.046,30000,99000,0.9928,3.24,0.36,9.6,6
6.2,0.66,0.48,1.2,0.029,29000,75000,0.9892,3.33,0.39,12.8,8
7.4,0.34,0.42,1.1,0.033,17000,171000,0.9917,3.12,0.53,11.3,6
6.5,0.31,0.14,7.5,0.044,34000,133000,0.9955,3.22,0.5,9.5,5
6.2,0.66,0.48,1.2,0.029,29000,75000,0.9892,3.33,0.39,12.8,8
6.4,0.31,0.38,2.9,0.038,19000,102000,0.9912,3.17,0.35,11,7
6.8,0.26,0.42,1.7,0.049,41000,122000,0.993,3.47,0.48,10.5,8
7.6,0.67,0.14,1.5,0.074,25000,168000,0.9937,3.05,0.51,9.3,5
6.6,0.27,0.41,1.3,0.052,16000,142000,0.9951,3.42,0.47,10,6
7,0.25,0.32,9,0.046,56000,245000,0.9955,3.25,0.5,10.4,6
6.9,0.24,0.35,1,0.052,35000,146000,0.993,3.45,0.44,10,6
7,0.28,0.39,8.7,0.051,32000,141000,0.9961,3.38,0.53,10.5,6
7.4,0.27,0.48,1.1,0.047,17000,132000,0.9914,3.19,0.49,11.6,6
7.2,0.32,0.36,2,0.033,37000,114000,0.9906,3.1,0.71,12.3,7
8.5,0.24,0.39,10.4,0.044,20000,142000,0.9974,3.2,0.53,10,6
8.3,0.14,0.34,1.1,0.042,7000,47000,0.9934,3.47,0.4,10.2,6
7.4,0.25,0.36,2.05,0.05,31000,100000,0.992,3.19,0.44,10.8,6
6.2,0.12,0.34,1.5,0.045,43000,117000,0.9939,3.42,0.51,9,6
5.8,0.27,0.2,14.95,0.044,22000,179000,0.9962,3.37,0.37,10.2,5
7.3,0.28,0.43,1.7,0.08,21000,123000,0.9905,3.19,0.42,12.8,5
